일자|시간|구분,공급량
2019-01-11 10 A,2730.0352992520006
2019-01-11 11 A,2574.1643522600825
2019-01-11 12 A,2360.9770544559233
2019-01-11 13 A,2188.4878391039783
2019-01-11 14 A,2088.9710427224336
2019-01-11 15 A,1955.9811353964117
2019-01-11 16 A,1872.0495920553021
2019-01-11 17 A,1946.3727579789704
2019-01-11 18 A,2194.281506684593
2019-01-11 19 A,2488.893590296806
2019-01-11 20 A,2503.9693744103492
2019-01-11 21 A,2402.7341445266347
2019-01-11 22 A,2326.532592849626
2019-01-11 23 A,2237.3695812220403
2019-01-11 24 A,2118.201625750753
2019-01-12 01 A,1932.9994945281478
2019-01-12 02 A,1700.7805932691797
2019-01-12 03 A,1580.098163597254
2019-01-12 04 A,1625.1057084359659
2019-01-12 05 A,1782.6513456550165
2019-01-12 06 A,1850.8563772726734
2019-01-12 07 A,1905.1371074444642
2019-01-12 08 A,2150.7832743321833
2019-01-12 09 A,2413.642611814055
2019-01-12 10 A,2510.683512684938
2019-01-12 11 A,2432.292867983333
2019-01-12 12 A,2232.8592497058903
2019-01-12 13 A,2025.341710432171
2019-01-12 14 A,1908.312059287268
2019-01-12 15 A,1799.8088200281688
2019-01-12 16 A,1749.7039579992934
2019-01-12 17 A,1831.0801954302483
2019-01-12 18 A,2121.5224539809487
2019-01-12 19 A,2441.3625018922594
2019-01-12 20 A,2377.076235641935
2019-01-12 21 A,2242.683187249404
2019-01-12 22 A,2160.531618190187
2019-01-12 23 A,2115.9842569961756
2019-01-12 24 A,2026.7391487654363
2019-01-13 01 A,1856.2737916472142
2019-01-13 02 A,1649.8423355731607
2019-01-13 03 A,1535.1432060506356
2019-01-13 04 A,1589.3298604762913
2019-01-13 05 A,1732.0599944531723
2019-01-13 06 A,1771.4013789801172
2019-01-13 07 A,1825.7118202992501
2019-01-13 08 A,2008.9539626084088
2019-01-13 09 A,2275.834105321308
2019-01-13 10 A,2379.5005159727652
2019-01-13 11 A,2317.1527875056854
2019-01-13 12 A,2117.038637892122
2019-01-13 13 A,1929.736370864857
2019-01-13 14 A,1843.9083431821264
2019-01-13 15 A,1749.6869975500651
2019-01-13 16 A,1716.3793090739823
2019-01-13 17 A,1821.5783765851927
2019-01-13 18 A,2153.8485747067084
2019-01-13 19 A,2514.243007816227
2019-01-13 20 A,2488.515597970816
2019-01-13 21 A,2367.0113524580775
2019-01-13 22 A,2306.986269906513
2019-01-13 23 A,2218.6717514793663
2019-01-13 24 A,2081.5582467646623
2019-01-14 01 A,1840.9883596679704
2019-01-14 02 A,1594.685364598626
2019-01-14 03 A,1515.039600587932
2019-01-14 04 A,1605.0029480717858
2019-01-14 05 A,1829.4901481050854
2019-01-14 06 A,2029.7920641308096
2019-01-14 07 A,2373.8926869360207
2019-01-14 08 A,2923.529910256371
2019-01-14 09 A,3050.4212479366392
2019-01-14 10 A,2839.4940919821456
2019-01-14 11 A,2684.052710035376
2019-01-14 12 A,2476.688943855738
2019-01-14 13 A,2290.4707254098785
2019-01-14 14 A,2181.1190685685688
2019-01-14 15 A,2024.4532368701543
2019-01-14 16 A,1935.4182048831958
2019-01-14 17 A,2008.6566912167282
2019-01-14 18 A,2282.826063114747
2019-01-14 19 A,2627.7145261684414
2019-01-14 20 A,2707.366790059031
2019-01-14 21 A,2649.1818494372446
2019-01-14 22 A,2580.720289765183
2019-01-14 23 A,2449.5765109879894
2019-01-14 24 A,2273.210019885404
2019-01-15 01 A,1996.8257091851826
2019-01-15 02 A,1727.9012141784556
2019-01-15 03 A,1605.3689053126272
2019-01-15 04 A,1672.7383155384023
2019-01-15 05 A,1894.5510701367002
2019-01-15 06 A,2038.4348152459866
2019-01-15 07 A,2366.621369867113
2019-01-15 08 A,2913.7293972551056
2019-01-15 09 A,3022.23027160226
2019-01-15 10 A,2795.1006596727093
2019-01-15 11 A,2610.603521013527
2019-01-15 12 A,2387.8066123972776
2019-01-15 13 A,2216.3879355108156
2019-01-15 14 A,2098.021960043322
2019-01-15 15 A,1952.0385592112943
2019-01-15 16 A,1873.11772967402
2019-01-15 17 A,1960.6769833094947
2019-01-15 18 A,2255.311403786339
2019-01-15 19 A,2630.673202806188
2019-01-15 20 A,2718.539516689927
2019-01-15 21 A,2654.5428486513233
2019-01-15 22 A,2606.624971231106
2019-01-15 23 A,2483.4185208504896
2019-01-15 24 A,2326.4402471038256
2019-01-16 01 A,2060.5608752625685
2019-01-16 02 A,1793.2109235561757
2019-01-16 03 A,1657.695441512853
2019-01-16 04 A,1715.501488013057
2019-01-16 05 A,1920.282903870496
2019-01-16 06 A,2076.695058082442
2019-01-16 07 A,2377.77286040179
2019-01-16 08 A,2913.875284132301
2019-01-16 09 A,3026.2222427798724
2019-01-16 10 A,2807.353644032792
2019-01-16 11 A,2643.6848240852114
2019-01-16 12 A,2411.4518176544425
2019-01-16 13 A,2229.282713615833
2019-01-16 14 A,2109.8218061987477
2019-01-16 15 A,1955.1321783841056
2019-01-16 16 A,1882.6321856114548
2019-01-16 17 A,1973.9703950861567
2019-01-16 18 A,2262.2908530242503
2019-01-16 19 A,2598.6515275207976
2019-01-16 20 A,2657.8030671838196
2019-01-16 21 A,2591.1831178458074
2019-01-16 22 A,2540.577091696994
2019-01-16 23 A,2427.720718943321
2019-01-16 24 A,2271.8209034421698
2019-01-17 01 A,2001.063884026923
2019-01-17 02 A,1729.0086505628744
2019-01-17 03 A,1607.313698175359
2019-01-17 04 A,1679.2065747249262
2019-01-17 05 A,1883.6836537118988
2019-01-17 06 A,2032.378357403783
2019-01-17 07 A,2355.9974733997888
2019-01-17 08 A,2886.5473224044463
2019-01-17 09 A,2970.9029868999287
2019-01-17 10 A,2737.561405158673
2019-01-17 11 A,2569.8533066475525
2019-01-17 12 A,2351.192745867934
2019-01-17 13 A,2182.0872743579425
2019-01-17 14 A,2054.1936136641384
2019-01-17 15 A,1904.1504501928932
2019-01-17 16 A,1828.7788995277224
2019-01-17 17 A,1901.1580022438518
2019-01-17 18 A,2169.978255912477
2019-01-17 19 A,2533.157799885382
2019-01-17 20 A,2602.7983337864134
2019-01-17 21 A,2542.752890298286
2019-01-17 22 A,2490.3299678071007
2019-01-17 23 A,2371.0014355043904
2019-01-17 24 A,2216.156935558841
2019-01-18 01 A,1970.0248536108056
2019-01-18 02 A,1712.0125717661704
2019-01-18 03 A,1603.8329981478496
2019-01-18 04 A,1660.64707198403
2019-01-18 05 A,1873.0452068611385
2019-01-18 06 A,2019.0798744053786
2019-01-18 07 A,2312.082901114576
2019-01-18 08 A,2821.926817391307
2019-01-18 09 A,2940.96758595691
2019-01-18 10 A,2736.2097509514383
2019-01-18 11 A,2557.247336294042
2019-01-18 12 A,2330.6913794254697
2019-01-18 13 A,2159.5959166934845
2019-01-18 14 A,2053.5746289877816
2019-01-18 15 A,1910.8918306803946
2019-01-18 16 A,1833.1759084022976
2019-01-18 17 A,1901.2291189410348
2019-01-18 18 A,2150.558992887154
2019-01-18 19 A,2490.692317133843
2019-01-18 20 A,2559.8688173362375
2019-01-18 21 A,2473.311322653526
2019-01-18 22 A,2394.541082834122
2019-01-18 23 A,2304.48682449667
2019-01-18 24 A,2180.859161210472
2019-01-19 01 A,1978.3482498687808
2019-01-19 02 A,1726.9910965364857
2019-01-19 03 A,1592.9598777460315
2019-01-19 04 A,1637.3164160996882
2019-01-19 05 A,1808.3975026595012
2019-01-19 06 A,1864.3336991880446
2019-01-19 07 A,1923.7280073223596
2019-01-19 08 A,2186.147524041441
2019-01-19 09 A,2418.458510995453
2019-01-19 10 A,2480.2712630102988
2019-01-19 11 A,2389.4582486036406
2019-01-19 12 A,2197.435161068229
2019-01-19 13 A,2001.1278749757917
2019-01-19 14 A,1874.8342406257823
2019-01-19 15 A,1772.3723937954967
2019-01-19 16 A,1714.6621178762548
2019-01-19 17 A,1783.5497169959167
2019-01-19 18 A,2061.4766742592765
2019-01-19 19 A,2406.0565353918446
2019-01-19 20 A,2400.221676277228
2019-01-19 21 A,2259.3753610088697
2019-01-19 22 A,2174.309537207745
2019-01-19 23 A,2120.821984350516
2019-01-19 24 A,2019.9788059720654
2019-01-20 01 A,1845.7795103828705
2019-01-20 02 A,1628.6347156697689
2019-01-20 03 A,1507.4672267886226
2019-01-20 04 A,1561.6959966658328
2019-01-20 05 A,1709.9902918152834
2019-01-20 06 A,1741.4993178712052
2019-01-20 07 A,1775.30536127098
2019-01-20 08 A,1962.8478215123196
2019-01-20 09 A,2228.3054866441653
2019-01-20 10 A,2334.6718927544025
2019-01-20 11 A,2271.85397647422
2019-01-20 12 A,2067.9918443190445
2019-01-20 13 A,1883.0483781875705
2019-01-20 14 A,1799.4544723188055
2019-01-20 15 A,1717.5395857280027
2019-01-20 16 A,1679.555950185024
2019-01-20 17 A,1779.7264529267663
2019-01-20 18 A,2072.965491719265
2019-01-20 19 A,2405.0655673594356
2019-01-20 20 A,2372.197611923594
2019-01-20 21 A,2265.042229818894
2019-01-20 22 A,2202.4799705226887
2019-01-20 23 A,2096.7024922937044
2019-01-20 24 A,1961.8512899515508
2019-01-21 01 A,1720.2215219540894
2019-01-21 02 A,1475.12952912009
2019-01-21 03 A,1392.0967094787493
2019-01-21 04 A,1481.9277138600223
2019-01-21 05 A,1717.036431309599
2019-01-21 06 A,1881.3521154606228
2019-01-21 07 A,2242.7605935847682
2019-01-21 08 A,2778.2805902458226
2019-01-21 09 A,2867.9038957984953
2019-01-21 10 A,2653.9487923867264
2019-01-21 11 A,2525.749197566381
2019-01-21 12 A,2329.1351712743754
2019-01-21 13 A,2174.1228097055546
2019-01-21 14 A,2069.477293797512
2019-01-21 15 A,1925.664740099065
2019-01-21 16 A,1839.9974022368806
2019-01-21 17 A,1908.2568549989714
2019-01-21 18 A,2164.2525798023053
2019-01-21 19 A,2470.5999613273393
2019-01-21 20 A,2537.7961426700267
2019-01-21 21 A,2481.984867272725
2019-01-21 22 A,2420.5981830394367
2019-01-21 23 A,2285.379144738755
2019-01-21 24 A,2124.7642274149894
2019-01-22 01 A,1857.1807852393385
2019-01-22 02 A,1598.4431027179878
2019-01-22 03 A,1484.901345704383
2019-01-22 04 A,1545.5447865468045
2019-01-22 05 A,1754.7689107249062
2019-01-22 06 A,1907.5487956654097
2019-01-22 07 A,2227.9516821527113
2019-01-22 08 A,2749.3816221866928
2019-01-22 09 A,2861.068063563914
2019-01-22 10 A,2660.0749909520873
2019-01-22 11 A,2492.5523157208745
2019-01-22 12 A,2288.6893947789904
2019-01-22 13 A,2122.828126845404
2019-01-22 14 A,2010.3786208745437
2019-01-22 15 A,1855.1195440186198
2019-01-22 16 A,1768.0580312188852
2019-01-22 17 A,1851.0076098695827
2019-01-22 18 A,2127.2592309007914
2019-01-22 19 A,2498.1839129585696
2019-01-22 20 A,2594.962658853281
2019-01-22 21 A,2543.925883511828
2019-01-22 22 A,2490.229061834121
2019-01-22 23 A,2365.6040199555473
2019-01-22 24 A,2208.333015673271
2019-01-23 01 A,1941.7667959932842
2019-01-23 02 A,1674.6471753422607
2019-01-23 03 A,1543.679566225354
2019-01-23 04 A,1578.7069497533184
2019-01-23 05 A,1789.125254997936
2019-01-23 06 A,1936.5332464730209
2019-01-23 07 A,2253.7029268647916
2019-01-23 08 A,2752.7858565333163
2019-01-23 09 A,2842.3481102083233
2019-01-23 10 A,2596.783485686566
2019-01-23 11 A,2456.644765853046
2019-01-23 12 A,2260.2852570779423
2019-01-23 13 A,2101.2977432316566
2019-01-23 14 A,2007.2152672412894
2019-01-23 15 A,1862.3776373008684
2019-01-23 16 A,1770.8616282048079
2019-01-23 17 A,1848.6361095355903
2019-01-23 18 A,2127.8946865837847
2019-01-23 19 A,2473.88401792643
2019-01-23 20 A,2576.347337188349
2019-01-23 21 A,2511.3257403179027
2019-01-23 22 A,2437.6558576485304
2019-01-23 23 A,2331.5336142287033
2019-01-23 24 A,2199.2840057626836
2019-01-24 01 A,1958.6288615373783
2019-01-24 02 A,1703.5794905801968
2019-01-24 03 A,1567.806956241488
2019-01-24 04 A,1611.8526975774969
2019-01-24 05 A,1808.557261356806
2019-01-24 06 A,1971.5890639810432
2019-01-24 07 A,2243.2414861541974
2019-01-24 08 A,2738.469931302825
2019-01-24 09 A,2879.9815723526526
2019-01-24 10 A,2677.6486149258635
2019-01-24 11 A,2534.3394895880565
2019-01-24 12 A,2303.9092845133673
2019-01-24 13 A,2113.2492019475503
2019-01-24 14 A,2011.1215375609336
2019-01-24 15 A,1875.1326642255633
2019-01-24 16 A,1802.1771116518921
2019-01-24 17 A,1890.7271204627812
2019-01-24 18 A,2164.862200496452
2019-01-24 19 A,2527.4927049462676
2019-01-24 20 A,2604.6756127549224
2019-01-24 21 A,2533.999898751076
2019-01-24 22 A,2476.085366957629
2019-01-24 23 A,2373.423552654218
2019-01-24 24 A,2234.0667703244876
2019-01-25 01 A,1989.6621956010458
2019-01-25 02 A,1729.2732837180865
2019-01-25 03 A,1601.385797688734
2019-01-25 04 A,1664.5987568991127
2019-01-25 05 A,1868.1502930571783
2019-01-25 06 A,2018.4276451498185
2019-01-25 07 A,2293.773420867433
2019-01-25 08 A,2767.9264558806617
2019-01-25 09 A,2911.457511504371
2019-01-25 10 A,2735.1564460876157
2019-01-25 11 A,2577.2145849906638
2019-01-25 12 A,2365.432580681085
2019-01-25 13 A,2189.0501963695915
2019-01-25 14 A,2088.491253271549
2019-01-25 15 A,1950.301681663507
2019-01-25 16 A,1864.1084558297723
2019-01-25 17 A,1937.0764302571658
2019-01-25 18 A,2184.521053637809
2019-01-25 19 A,2497.1443961996893
2019-01-25 20 A,2535.294626585075
2019-01-25 21 A,2444.340706587007
2019-01-25 22 A,2365.8080642356936
2019-01-25 23 A,2274.633616552782
2019-01-25 24 A,2152.453612117901
2019-01-26 01 A,1959.4580418952046
2019-01-26 02 A,1715.2237560754136
2019-01-26 03 A,1583.9334617153136
2019-01-26 04 A,1628.4514400452613
2019-01-26 05 A,1794.5116690858686
2019-01-26 06 A,1862.484303616834
2019-01-26 07 A,1910.9971641243046
2019-01-26 08 A,2169.198035655549
2019-01-26 09 A,2413.6404690237555
2019-01-26 10 A,2479.8085347387514
2019-01-26 11 A,2385.899529721315
2019-01-26 12 A,2175.5120792789867
2019-01-26 13 A,1962.9138023864793
2019-01-26 14 A,1842.014692248503
2019-01-26 15 A,1735.4516434641275
2019-01-26 16 A,1674.4077158270497
2019-01-26 17 A,1744.7559123042074
2019-01-26 18 A,2024.147668158521
2019-01-26 19 A,2376.8866704672664
2019-01-26 20 A,2353.269684912624
2019-01-26 21 A,2224.500538800494
2019-01-26 22 A,2127.8524504430557
2019-01-26 23 A,2076.0149919881915
2019-01-26 24 A,1980.4926231907516
2019-01-27 01 A,1812.9447484579766
2019-01-27 02 A,1611.647081903231
2019-01-27 03 A,1493.241606323755
2019-01-27 04 A,1557.4830795865737
2019-01-27 05 A,1714.1359233563808
2019-01-27 06 A,1746.4411402183623
2019-01-27 07 A,1790.2135764599561
2019-01-27 08 A,2001.5925498028168
2019-01-27 09 A,2264.702972726718
2019-01-27 10 A,2359.99687797927
2019-01-27 11 A,2303.0220817667814
2019-01-27 12 A,2121.1662209549168
2019-01-27 13 A,1937.9735652398613
2019-01-27 14 A,1847.3067025614
2019-01-27 15 A,1754.7648335532704
2019-01-27 16 A,1722.2341284817119
2019-01-27 17 A,1826.0148756981735
2019-01-27 18 A,2149.6117179142493
2019-01-27 19 A,2527.051173704195
2019-01-27 20 A,2532.9205697521948
2019-01-27 21 A,2430.7199406762056
2019-01-27 22 A,2356.8169486420834
2019-01-27 23 A,2244.44832939848
2019-01-27 24 A,2103.1008139654095
2019-01-28 01 A,1862.3586175944529
2019-01-28 02 A,1620.2158489794676
2019-01-28 03 A,1543.5458011011629
2019-01-28 04 A,1635.5669245297117
2019-01-28 05 A,1874.2015903038284
2019-01-28 06 A,2071.2480733360494
2019-01-28 07 A,2452.0599198373875
2019-01-28 08 A,3020.552121254083
2019-01-28 09 A,3127.399416329929
2019-01-28 10 A,2885.2732487205985
2019-01-28 11 A,2695.9857629755566
2019-01-28 12 A,2475.821046445577
2019-01-28 13 A,2286.8681398346434
2019-01-28 14 A,2165.322335962055
2019-01-28 15 A,1995.5006967876932
2019-01-28 16 A,1904.9011032171234
2019-01-28 17 A,1978.462755650001
2019-01-28 18 A,2245.497798763946
2019-01-28 19 A,2588.836235509618
2019-01-28 20 A,2670.985585391624
2019-01-28 21 A,2612.3350693622033
2019-01-28 22 A,2542.229865990067
2019-01-28 23 A,2409.2104259476337
2019-01-28 24 A,2228.9266351327306
2019-01-29 01 A,1959.6101909725735
2019-01-29 02 A,1694.1170254556573
2019-01-29 03 A,1572.29876011463
2019-01-29 04 A,1640.7906176429428
2019-01-29 05 A,1866.3086317957113
2019-01-29 06 A,1996.8246186989418
2019-01-29 07 A,2322.7201333097637
2019-01-29 08 A,2861.9505095288177
2019-01-29 09 A,3014.5484924389725
2019-01-29 10 A,2804.8167259082056
2019-01-29 11 A,2612.1485080736684
2019-01-29 12 A,2380.582472434802
2019-01-29 13 A,2218.8331484746213
2019-01-29 14 A,2106.1054629339155
2019-01-29 15 A,1966.2109826533087
2019-01-29 16 A,1875.6683271512738
2019-01-29 17 A,1951.596367236333
2019-01-29 18 A,2236.9645598177112
2019-01-29 19 A,2598.706205706868
2019-01-29 20 A,2680.96950805248
2019-01-29 21 A,2621.6132964741337
2019-01-29 22 A,2577.6151210083826
2019-01-29 23 A,2462.14974495313
2019-01-29 24 A,2304.429240362266
2019-01-30 01 A,2028.4940551255493
2019-01-30 02 A,1761.2206305262462
2019-01-30 03 A,1620.5760545835733
2019-01-30 04 A,1677.5877975810722
2019-01-30 05 A,1887.2959946747674
2019-01-30 06 A,2020.1242022618785
2019-01-30 07 A,2310.013796004242
2019-01-30 08 A,2848.2556558287656
2019-01-30 09 A,2950.15991389818
2019-01-30 10 A,2711.073336117091
2019-01-30 11 A,2549.6802912184703
2019-01-30 12 A,2329.791307368244
2019-01-30 13 A,2159.5973765040762
2019-01-30 14 A,2055.771950154624
2019-01-30 15 A,1914.2992683311231
